city,country,latitude,longitude,max_temp,humidity,windspeed,cloudiness
Panaba,MX,21.28,-88.27,85.54,70,11.59,100
North Port,US,27.04,-82.24,91.4,66,10.29,20
Juneau,US,58.3,-134.42,50.0,81,10.29,75
Walvis Bay,NA,-22.95,14.51,57.2,93,6.93,40
Upernavik,GL,72.79,-56.15,38.95,57,5.7,100
Beringovskiy,RU,63.05,179.32,44.17,93,4.65,81
Suntar,RU,62.16,117.65,32.06,89,1.86,57
Ilam,IR,33.64,46.42,75.2,23,6.93,0
Simbahan,PH,6.3,120.58,82.95,68,2.84,0
Vung Tau,VN,10.35,107.08,77.78,87,5.59,100
Egvekinot,RU,66.32,-179.17,26.82,94,8.14,100
Yola,NG,9.26,12.45,74.43,92,3.18,100
Kupang,ID,-10.16,123.6,75.08,76,9.04,0
Arman,RU,59.7,150.17,27.0,60,8.19,0
Kathmandu,NP,27.71,85.32,66.2,100,3.36,75
Minas,UY,-34.38,-55.24,59.0,77,11.41,0
Oriximina,BR,-1.77,-55.87,91.89,50,2.64,0
Inongo,CD,-1.93,18.29,72.07,93,3.69,79
Weiser,US,44.25,-116.97,79.0,24,3.8,1
Wichian Buri,TH,15.66,101.11,73.44,88,2.62,55
Bosaso,SO,11.28,49.18,84.78,83,10.02,29
Labuhan,ID,-2.54,115.51,70.8,95,1.34,100
Sobolevo,RU,54.43,31.9,39.8,76,4.09,2
Pulawy,PL,51.42,21.97,60.01,100,5.82,90
Weligama,LK,5.97,80.42,81.81,75,8.48,100
Nakhon Thai,TH,17.1,100.84,72.06,90,3.0,96
Tabuk,PH,17.41,121.44,64.98,97,4.12,53
College,US,64.86,-147.8,42.01,86,5.82,75
Wilmington Island,US,32.0,-80.97,91.0,74,6.93,1
Springdale,US,36.19,-94.13,78.01,73,6.93,75
Okhotsk,RU,59.36,143.24,34.83,47,7.25,100
Adrar,DZ,27.87,-0.29,93.2,8,6.93,20
Vanavara,RU,60.35,102.28,32.78,79,2.33,96
Nioro,GM,13.79,-15.05,82.95,68,8.41,67
Tapes,BR,-30.67,-51.4,65.68,68,4.97,0
Muros,ES,42.77,-9.06,66.0,93,3.36,75
Druzhba,UA,49.36,25.65,57.0,69,3.0,88
Manokwari,ID,-0.87,134.08,72.67,76,5.08,98
Carmaux,FR,44.05,2.16,59.0,93,3.85,0
Ostrovnoy,RU,68.05,39.51,37.6,90,11.95,83
Saint-Pierre,FR,48.95,4.24,64.4,82,18.34,0
Ouangani,YT,-12.85,45.14,77.0,83,19.46,75
Torbay,CA,47.66,-52.73,53.01,100,16.11,90
Valparai,IN,10.33,76.96,77.0,94,1.83,75
Viedma,AR,-40.81,-62.99,53.8,54,16.8,67
Tongzhou,CN,32.07,121.07,71.01,80,3.62,100
Agua Prieta,MX,31.32,-109.55,79.0,39,13.87,20
Virginia Beach,US,36.85,-75.98,90.0,55,5.82,1
Matara,BI,-3.48,29.48,53.86,86,1.81,68
Itarema,BR,-2.92,-39.92,78.01,71,12.08,0
Correntina,BR,-13.34,-44.63,84.33,23,4.7,76
Broome,GB,52.47,1.45,60.01,87,9.17,29
Pemba,MZ,-12.97,40.52,74.99,65,20.71,99
Ayan,IR,38.23,44.7,50.53,39,4.18,0
Kilindoni,TZ,-7.91,39.67,78.99,76,23.69,0
Aktau,KZ,43.65,51.16,55.4,66,17.9,40
Maputo,MZ,-25.97,32.57,59.0,72,5.82,0
Gazojak,TM,41.19,61.4,65.09,24,5.93,0
Vangaindrano,MG,-23.35,47.6,63.94,97,3.8,5
Pangody,RU,65.85,74.49,31.7,95,10.16,92
San Cristobal,HN,14.68,-86.92,79.0,78,5.57,81
Sao Joao da Barra,BR,-21.64,-41.05,68.0,94,1.74,90
Santa Lucia,IT,41.98,12.66,69.8,82,3.36,0
Balky,UA,50.15,25.26,55.0,10,2.24,100
Faanui,PF,-16.48,-151.75,79.72,78,18.19,76
Ambilobe,MG,-13.19,49.05,67.21,79,3.87,0
Gamba,CN,28.28,88.52,37.55,63,3.04,100
Inhambane,MZ,-23.87,35.38,60.55,76,5.91,34
Kitgum,UG,3.3,32.88,68.64,92,2.42,100
Wanning,AT,48.64,13.53,60.01,87,3.36,75
Yokadouma,CM,3.52,15.05,71.08,93,1.41,100
Lima,PE,-12.06,-77.04,64.4,77,9.17,75
Umm Lajj,SA,25.02,37.27,85.12,59,10.33,0
Forbes,AU,-33.38,148.01,48.01,80,2.35,2
Whakatane,NZ,-37.96,176.99,57.99,65,5.01,33
Wum,CM,6.39,10.08,68.02,96,2.71,100
Xianyang,CN,34.31,108.72,64.99,93,2.24,0
Xai-Xai,MZ,-25.04,33.64,59.29,76,5.23,0
Horsham,AU,-36.71,142.2,46.32,76,6.64,99
Sijunjung,ID,-0.69,100.95,65.67,91,1.41,82
Imphal,IN,24.8,93.94,64.55,98,2.82,6
Gorontalo,ID,0.54,123.06,71.5,94,1.63,81
Ceres,BR,-15.31,-49.6,69.16,87,14.12,49
Poso,ID,-1.4,120.75,60.05,96,3.24,43
Shingu,JP,33.72,135.99,63.92,97,4.61,26
Hualmay,PE,-11.1,-77.61,61.49,91,10.56,22
Mitsamiouli,KM,-11.38,43.28,77.24,76,25.46,0
Ust-Tsilma,RU,65.44,52.15,36.85,91,6.31,100
Puerto Madero,AR,-34.61,-58.36,73.4,68,21.92,0
Marsh Harbour,BS,26.54,-77.06,79.62,66,10.51,100
